model_name,data_size,elapsed_time,accuracy
rf,100,0.13333797454833984,0.611
rf,200,0.14867782592773438,0.686
rf,500,0.2082538604736328,0.803
rf,1000,0.3422098159790039,0.855
rf,2000,0.6252491474151611,0.895
xgb,100,3.732999086380005,0.503
xgb,200,7.309970855712891,0.634
xgb,500,18.023113250732422,0.787
xgb,1000,42.20664596557617,0.843
xgb,2000,89.15861511230469,0.863
mgc_forest,100,61.69163513183594,0.716
mgc_forest,200,135.76824712753296,0.797
mgc_forest,500,420.3709011077881,0.912
mgc_forest,1000,1209.7108790874481,0.934
mgc_forest,2000,2806.3647000789642,0.953
